id,label,context
20000120,civil rights,"Guarantees of protection to individuals  freedom from violation by governments, political and social organizations, and other individuals as determined by the laws or constitutions of an individual country"
20000121,law,The codification of rules of behavior
20000122,civil law,"The system of law focused on private rights and disputes between individuals in such areas as contracts, torts, property, and family law"
20000123,antitrust regulations,laws to promote competition between companies for the benefit of consumers
20000124,regulations,laws that guide the conduct and organization of business corporations
20000125,criminal law,The system of law concerned with the punishment of those who commit crimes
20000126,international law,"The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas"
20000127,extradition,Legal transfer of criminals or suspects between countries
20000128,international court and tribunal,"The activities of courts under the authority of international organizations or formed by treaties between nations, such as the European Court for Human Rights and International Court of Justice"
20000129,law enforcement,Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws
20000130,arrest,The detention of a suspect of a crime
20000131,investigation (criminal),"Inquiry into an alleged crime, including searching, interviews, interrogations and evidence collection"
20000132,missing person,"An adult whose disappearance is possibly not voluntary, or a child whose whereabouts are unknown to the child's legal guardian"
20000133,police,"Civil force of a national, regional or local government that is responsible for the prevention and detection of crime and the maintenance of public order"
20000134,sentencing (criminal),The retribution handed out to those who break laws
20000135,capital punishment,The legally authorized execution of someone as punishment for a crime
20000136,fine (penalty),Money that a court of law or other authority decides has to be paid as punishment for a crime or other offence
20000137,prison,Facility where people are held as a punishment for a crime they have committed or while awaiting trial
20000139,accident and emergency incident,"A sudden, unexpected event that causes unwanted consequences or requires immediate action"
20000140,explosion accident and incident,"Explosions caused by an accidental, non-combat, or non-terrorism source. Also use when the source of the explosion is non-specified or unknown"
20000141,industrial accident and incident,Any unplanned event or mishap in an industrial setting that result in injuries to people and damage to property or the environment
20000142,nuclear accident and incident,Any unplanned event that causes unwanted consequences involving radioactive materials
20000143,transportation accident and incident,An accident or incident involving one or more vehicles
20000144,air and space accident and incident,An accident or incident involving aircrafts or spacecrafts
20000145,maritime accident and incident,An accident or incident involving marine vessels.
20000146,railway accident and incident,An accident or incident involving trains.
20000147,road accident and incident,An accident or incident involving road vehicles.
20000148,disaster,"A sudden, unplanned event that causes great damage or loss of life, such as an accident or a natural catastrophe"
20000149,famine,Severe lack of food for a large population
20000150,fire,"Fires started by an accidental or unknown source. For wildfires, use wildfire. For fires started with a criminal intent, use arson."
20000151,natural disaster,"Destructive incidents caused by nature, such as earthquakes and floods"
20000152,drought,A severe lack of water over a period of time
20000153,earthquake,"The shifting of the tectonic plates of the Earth, creating in some cases damage to structures"
20000154,flood,"Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted"
20000155,landslide,Sudden dislodging of massive amounts of snow or soil
20000156,avalanche,"A sudden fall of snow, ice, rock, or mud down the side of a mountain"
20000157,meteorological disaster,A weather-related disaster
20000158,windstorms,A storm with very strong wind but little or no rain or snow
20000159,volcanic eruption,A rupture in the crust of the Earth allowing molten material to escape to the surface
20000160,emergency incident,"A sudden, unexpected event that requires immediate action to prevent serious consequences"
20000161,structural failure,"The unexpected collapse of a building, bridge or other structure"
20000162,transport incident,An incident involving one or more vehicles
20000163,air and space incident,Incident involving craft in air or space.
20000164,maritime incident,Incident involving marine vessels.
20000165,railway incident,Incident involving trains.
20000166,road incident,Incident involving road vehicles.
20000167,emergency planning,"Planning for actions to deal with sudden, unplanned events"
20000168,emergency response,"The planning and efforts made by people and organizations to help victims of a sudden, unplanned event, natural disaster or crisis"
20000170,business information,"Information about individual business entities, including companies, corporations, charities"
20000171,business finance,A business entity's finances
20000172,accounting and audit,Changes regarding applicable accounting rules and the audit of accounting
20000173,analysts comment,"Stock analyst comments, analysis and recommendations."
20000174,bankruptcy,News about actual bankruptcy filings.
20000175,stock buyback,Corporate actions in which companies buy back their own shares
20000176,credit rating,Formal statements by certain rating agencies on the investment risk of a company or enterprise
20000177,corporate dividends,Distribution of company profits to shareholders via dividend payments
20000178,corporate earnings,Announcements and discussions of corporate earnings
20000179,earnings forecast,Analyst prediction of company earnings.
20000180,financial statement,Formal statements about the company financials typically delivered annually or quarterly
20000181,proxy filing,Filings with regulatory agencies of proxy statements for upcoming shareholder votes.
20000182,financially distressed company,Indications that a company is financially distressed but not having filed for bankruptcy yet
20000183,business financing,"The financing, capital structuring, and investment decisions of a business"
20000184,restructuring and recapitalization,"The sale of company units, splits of existing companies into units under a holding company, etc."
20000185,shareholder activity,"Actions taken by owners of one or more shares of a company, including shareholder activism"
20000186,stock activity,"Announcements of major stock events: splits, block trades, new highs or lows, etc."
20000187,stock flotation,"The issuing of stock shares to the public for the first time, also called an Initial Public Offering (IPO)"
20000188,human resources,People working for a business and how they are managed
20000189,layoffs and downsizing,Planned or actual reductions in the labor force.
20000190,executive officer,Company executive officers including appointments and changes
20000191,stock option,"An agreement to either buy or sell a stock when it meets a certain price, sometimes used as an incentive for employees and officers of a company"
20000192,business strategy and marketing,Planning the direction of a company and selling its products and services to achieve the strategy
20000193,annual and special corporate meeting,News surrounding company reports and annual or special corporate meetings
20000194,annual report,Availability or contents of annual company reports.
20000195,board of directors,Appointments to or changes in the board of directors for a company.
20000196,commercial contract,Contracts regarding commercial activities
20000197,company spin-off,The creation of new companies being spun off from existing companies.
20000198,economic globalization,Doing business around the world
20000199,business governance,"The rules, practices, and processes used to oversee and manage a company"
20000200,joint venture,Two or more companies agreeing on a venture.
20000201,leveraged buyout,Acquiring control over a company by buying its shares with borrowed money.
20000202,licensing agreement,The document defining the terms for licensing intellectual property
20000203,management buyout,Acquiring control over a company by the management buying its shares.
20000204,merger or acquisition,"Two or more companies forming a new company mergers, takeovers or acquisitions."
20000205,new product or service,The introduction of products or services to the market
20000206,"patent, copyright and trademark","Intellectual properties such as patents, copyright and trademarks"
20000207,product recall,A decision by a company to take back or repair a defective product
20000208,research and development,Research and expenditure on new product or service development
20000209,products and services,Products and services consumed by companies and individuals and the companies that manufacture or manage them
20000210,agriculture,"The growing and raising of plants and animals for consumption and the processing, cleaning, packing or storage of these products"
20000211,aquaculture,Growing plants or animals in water for human consumption
20000212,arable farming,"The growing of plants on a large scale commercially, especially a cereal, fruit, grain or vegetable"
20000213,commercial fishing,Fish farming and commercial activity around the catching of fish and seafood for consumption
20000214,forestry and timber,"The production, collection and preparation of wood products"
20000215,livestock farming,"Raising of animals for their by-products, such as meat, eggs, milk, fur and wool"
20000216,viniculture,Production of wines from the vines to the finished products
20000217,chemicals,Natural or manmade materials used to produce other materials
20000218,biotechnology business,The business of using engineering technology to study and solve problems of living organisms
20000219,fertilizer,Natural or manmade materials used to encourage the growth of plants
20000220,health and beauty product,Compilation of chemicals and other substances for use in enhancing ones looks or smell
20000221,inorganic chemical,The branch of chemistry dealing with minerals and metals
20000222,organic chemical,"The branch of chemistry dealing with human, animal or carbon-based substances"
20000223,pharmaceutical,The production of medicines from various chemicals and natural substances and the research and discovery around new medications
20000224,plastic,"The production of plastics and issues around plastic consumption, including bans, recycling, using less plastics and plastic alternatives"
20000225,computing and information technology,Computers and the transmission of information
20000226,computer and telecommunications hardware,"Physical devices used to provide computer and telecommunication service, such as modems, keyboards, hard drives, telephones, routers and monitors"
20000227,computer networking,The interconnectivity between hardware that provides the medium for the transmission of data.
20000228,satellite technology,Hardware and software that enables ground-based devices to send signals to each other via an orbiting satellite.
20000229,computer security,"To encompass technical developments in hardware and software, basic research and related areas such as cyber security"
20000230,semiconductor and electronic component,"The basic components that together create working electronic devices such as computer chips, transistors, diodes and integrated circuits"
20000231,software and applications,Computer programs including mobile or web apps and operating systems
20000232,telecommunication equipment,"Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions"
20000233,telecommunication service,Services provided by commercial companies that facilitate connections between telephones and computers
20000234,wireless technology,"Technology and services that permit the transfer of information between separated points without physical connection, including Bluetooth and Wi-Fi networks"
20000235,construction and property,All items pertaining to the construction and sale of property
20000236,design and engineering,"Design and planning by engineers, architects etc. of roads, offices, factories, dams , offshore structures."
20000237,farms,"Agricultural areas for the production of foodstuffs, including dairy products, fruits and livestock, such as cattle and fish"
20000238,heavy construction,"Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums"
20000239,house building,"Construction of residences, for private use"
20000240,land price,"The price of land in specific zoned areas such as commercial, residential or arable as provided by a responsible body"
20000241,real estate,"The buying, selling, renting and leasing of properties of all types"
20000242,restoration,"Restoring historic or important properties or structures to a former better state by cleaning, repairing or rebuilding"
20000243,consumer goods,Items produced for and sold to individuals
20000244,beverage,"Liquid consumables, both alcoholic and non-alcoholic"
20000245,clothing,The manufacturing and purchasing of apparel
20000246,department store,"Store selling a variety of goods, such as clothing, housewares, jewelry and cosmetics"
20000247,online shopping,Buying and selling items through the internet
20000248,grocery,The selling of edible goods for human consumption to the end customers
20000249,luxury good,"Non-essential high-end goods, such as leather bags, jewelry or supercars"
20000250,mail order,Items sold through and delivered by mail
20000251,non-durable good,Products meant to only be used for a short period of time
20000252,retail,The selling of goods directly to consumers
20000253,specialty store,"Retail outlets that specialize in categories such as shoes, coats, power tools, etc"
20000254,toy and game,"Children's playthings or collectible items for adults, such as dolls, action figures and miniatures"
20000255,wholesale,The first link in the sales chain after production
20000256,energy and resource,The use of natural resources to generate energy
20000257,renewable energy,Energy derived from sustainable sources
20000258,coal,Production and mining of anthracite and bituminous products for use in power production
20000259,diesel fuel,"A distilled petroleum product heavier than gasoline used for trucks, marine engines, certain cars and in some forms for home heating"
20000260,electricity,The power line distribution system and the sale of electrical power at wholesale and retail levels
20000261,energy industry,"The energy industry, not focused on any specific sector"
20000262,kerosene/paraffin,"A light petroleum distillate used for cooking fuel, aircraft jet engines, lamps, heating and cleaning"
20000263,natural gas,"A natural resource, mainly methane in a flammable gaseous state extracted from the ground"
20000265,nuclear power,Use of radioactive materials for power production
20000266,oil and gas - downstream activities,"All matters concerning oil and gas, typically refining and distribution activities"
20000267,oil and gas - upstream activities,"All matters concerning oil and gas, typically supply chain activities from the reservoir to the refinery gate"
20000268,gasoline,"Distilled petroleum product used for automotive fuel, with or without additives"
20000269,waste management,"The collecting, disposing or recycling of household and business waste"
20000270,water supply,The business of providing water for household and commercial use
20000271,financial and business service,"Services that transmit, safeguard, keep track of money or provide backup to commercial enterprises"
20000272,accountancy and auditing,Companies that provide balance sheet preparation and budget reconciliation services and examine accuracy of financial statements
20000273,auction,"Auction houses and all types of auctions, such as police auctions and silent auctions"
20000274,banking,"Financial institutions and services for storing, transmitting, receiving and delivering money"
20000275,consultancy,"Providers of expert knowledge in a wide range of fields usually on a temporary, contract basis"
20000276,employment agency,"A service helping people find jobs, and companies to find workers"
20000277,funeral home and crematorium,Companies that provide services for disposal of the dead
20000278,health care provider,Organizations and individuals that provide medical services at all levels
20000279,insurance,A risk-taking venture that allows individuals to pay small amounts periodically to guard financially against unexpected events
20000280,financial advisory service,"Financial advisers, as opposed to stock dealers or consultants"
20000281,janitorial service,Companies that provide cleaning and similar services for homes and businesses.
20000282,legal service,"Lawyers, notaries and others who help companies and individuals deal with state, federal and local laws"
20000283,market research,Gathering information about the needs and wants of consumers
20000284,market trend,Statistically significant consumer behavior.
20000285,personal finance,An individual's income and expenses
20000286,personal income,Money that a person earns and is his/hers to keep or spend
20000287,personal finance and investment,Investing an individual's savings in the hope of future gains
20000288,personal service,Consumer service that is intangible e.g. beauty care such as hairdressing
20000289,printing service,"The production of printed matter such as flyers, ads, signs, etc."
20000290,rental service,"Companies that provide items on a short-term rental basis, including motor vehicles, clothing, tools, heavy equipment and other supplies"
20000291,shipping and postal service,"Organizations that prepare and transport packages and documents for individuals or companies by any means, including postal services"
20000292,stock broking,The buying and selling of company shares on behalf of individuals or other entities
20000293,wedding service,Services and products related to the wedding industry
20000294,manufacturing and engineering,"Manufacturers of electrical, electronic and mechanical equipment but does not cover civil engineering."
20000295,aerospace,Companies that assemble or manufacture components for airplanes and space ships.
20000296,automotive,Companies that manufacture automotive components and assemble automobiles
20000297,defense equipment,"Manufacturers of guns, tanks, ships or other equipment for military and non-military protection services"
20000298,electrical appliance,Makers of large and small electrical goods for use in homes or business
20000299,heavy engineering,"Manufacturers of engineering equipment, such as cranes and bulldozers, for use in major construction projects"
20000300,industrial component,"Manufacturers of mechanical, electrical, electronic items needed in the manufacture of other items"
20000301,instrument engineering,"Manufacturers of instruments for calibration, measurement of things like speed, pressure, distance"
20000302,machine manufacturing,"Manufacturers of turbines, engines, fans, pumps, motors and other components for powered equipment"
20000303,shipbuilding,Manufacturers of ships and submersibles and suppliers for the maintenance and repair of these vessels
20000304,media and entertainment industry,"The various means of disseminating news, information and entertainment to the public"
20000305,advertising,Methods of promoting goods and services to consumers
20000306,books and publishing,"The business of producing and selling books, including e-books and audiobooks"
20000307,film industry,"The business of making, selling and distributing films"
20000308,music industry,"Recording, production and marketing of music"
20000309,news agency,"Commercial agencies for production and distribution of newsworthy events through print, broadcast, video or electronic media"
20000310,newspaper and magazine,The business of producing bound and unbound printed paper products for periodic distribution of news items
20000311,online media industry,The business of distributing news and information through computer networks for public consumption
20000312,public relations,The business of managing and disseminating information from an individual or an organization to the public in order to influence their perception
20000313,radio industry,Companies and organizations involved in the broadcast of radio stations and their content to the public
20000314,satellite and cable service,"The business of transmitting news, entertainment and information via satellite or cable television services"
20000315,television industry,The production and broadcasting of television content
20000316,metal and mineral mining and refining,"The extractive businesses that remove raw materials, including coal, gold iron and copper, from the earth by drilling and pumping, quarrying or mining"
20000317,building material,"Manufacturing of the materials used in construction, such as wallboard, lumber and wire"
20000318,precious material,"The mining, refining and sale of materials such as gold, silver, precious metals, diamonds and rare earths"
20000319,iron and steel,"Mining, refining and sales of iron-based metals"
20000320,mining,"The industry of digging for metals, minerals, raw materials, such as coal, or precious gems, such as diamonds"
20000321,non-ferrous metal,"Mining, refining and sales of copper, zinc, aluminum, and other metals not based on iron"
20000322,process industry,The business of turning raw materials into useable products
20000323,distiller and brewer,Manufacture of alcoholic beverages
20000324,beverage and grocery,The production and sale of foodstuffs
20000325,furnishings and furniture,"Manufacture of furniture, wallpaper, paints and fabrics for interior decoration"
20000326,paper and packaging product,"Production of paper material for writing, wrapping, printing, or packaging"
20000327,rubber product,"Production of rubber-based materials for gloves, protective coatings, hoses and the like"
20000328,soft drinks,Production of non-alcoholic drinks
20000329,textile and clothing,"Production of fabrics for furnishings and fixtures, and for clothing of various types"
20000330,tobacco and nicotine,"The sale and manufacturing of tobacco products for consumers, including cigarettes, e-cigarettes and vaping cartridges"
20000331,tourism and leisure industry,Commercial organizations and operations dealing with travel and the pursuit of recreational activities
20000332,casinos and gambling,Organisations providing outlets for betting money on games of chance or animal races
20000333,hotel and accommodation,The business of providing lodging to travelers
20000334,recreational and sporting goods,Manufacture of goods for leisure activities
20000335,restaurant and catering,The business of providing prepared food for customers
20000336,tour operator,Operators of trips either locally or internationally
20000337,transport,The means of getting people or goods from one place to another
20000338,air transport,The movement of passengers and freight by air
20000339,commuting,"The process of getting to and from work, including transport options, travel networks, car pooling."
20000340,railway transport,The movement of passengers and freight by rail
20000341,road transport,The movement of passengers and freight by road
20000342,traffic,Traffic reports and/or warnings
20000343,waterway and maritime transport,"Commercial movement of people or goods via boats, ships and water"
20000344,economy,"Production, consumption, distribution and trade activities affecting regions or countries as a whole"
20000345,economic policy,"Government-directed policy on the economy including, production, taxes and tariffs"
20000346,economic trends and indicators,The behavior and performance of the economy as a whole
20000347,bonds,Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government
20000348,budgets and budgeting,A method of balancing revenues against expenses
20000349,business enterprise,Organizations set up to create and sell a product or service
20000350,central bank,A country's major bank that sets interest rates and provides transfer of funds between commercial banks
20000351,consumers,Buyers of goods and services
20000352,consumer confidence,"A measure of consumers' feelings about current and future economic conditions, including prices, inflation and the quality of retail goods, used as an indicator of the overall state of the economy"
20000353,consumer issue,"Issues, such as prices, inflation/deflation, quality of goods, at the retail sales level"
20000354,credit and debt,"Credit: the amount of money available to you, often by loan. Debt: the amount you owe."
20000355,currency,"The system of money used by a country, including the value of one currency as measured against another"
20000356,deflation,The decrease in the general price level of goods and services within an economy
20000357,economic growth,An increase of the gross domestic product (GDP)
20000358,economic indicator,"Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining"
20000359,gross domestic product,"A measure of a region's economic performance, commonly abbreviated as GDP"
20000360,industrial production,Manufacture of durable and non-durable goods
20000361,inventories,"Goods not sold and held by the producer, wholesaler or retailer"
20000362,productivity,A measure of output from production or service
20000363,economic organization,"Business, industrial and trade associations, societies and other private-sector groups"
20000364,emerging market,Economies of developing nations that are growing and becoming more engaged with global markets
20000365,employment statistics,"Trends and statistics about areas such as job growth, unemployment and wage growth"
20000366,exporting,The producing of manufacturing of goods by a country to be sold elsewhere
20000367,government aid,"Supply of financial and other help by one government, usually to another"
20000368,government debt,Debt incurred when a country borrows funds to pay for public services and projects that it cannot afford based on the amount of taxes it has raised
20000369,importing,A country bringing in goods that were produced or manufactured elsewhere
20000370,inflation,The overall increase in prices and cost of living throughout an economy
20000371,interest rates,The amount a lender charges a borrower as a percentage of the principal. Often set by a central bank or government.
20000372,international economic institution,"Global institutions working in the domain of international economic cooperation and stability, such as the International Monetary Fund, UNIDO, World Bank and World Trade Organization"
20000373,international trade,Trade of goods and services between nations
20000374,trade agreements,Agreements between countries or trading blocs for the sale and purchase of goods and services
20000375,balance of trade,The difference between the financial value of imports and exports
20000376,trade dispute,"International dispute over issues such as trade barriers, cartels and dumping, resolved by the World Trade Organization"
